"id";"execution_time";"resources_used";"dataset_content";"strategy_param";"num_kernels";"num_branches";"tree_depth";"pruned_branches";"file_name";"boundary";"optimal_solution";"div_conq";"sw_size";"kernel_remainder";"alpha";"num_formulae"
1;32.4562;"37516 KB";"[""!(!A1&&A2)"", ""!(A0||A1)"", ""A1||((A2&&A0)&&A1)"", ""(A1||(A1&&A0))||A2"", ""!A0"", ""!A1"", ""!A2"", ""!A1&&(A2||A0)"", ""A1&&A0"", ""(A1||A1)&&(A2&&A0)""]";"0";140;139;7;0;"data/SRS/Dataset_A/sig3_5_15/srs_0.txt";0.0;"[]";1;1;"kernel";"A0&&!A0";10
2;18.8595;"37500 KB";"[""!(!A1&&A2)"", ""!(A0||A1)"", ""A1||((A2&&A0)&&A1)"", ""(A1||(A1&&A0))||A2"", ""!A0"", ""!A1"", ""!A2"", ""!A1&&(A2||A0)"", ""A1&&A0"", ""(A1||A1)&&(A2&&A0)""]";"0";106;105;7;0;"data/SRS/Dataset_A/sig3_5_15/srs_0.txt";0.0;"[]";1;5;"kernel";"A0&&!A0";10
3;12.6717;"37644 KB";"[""!(!A1&&A2)"", ""!(A0||A1)"", ""A1||((A2&&A0)&&A1)"", ""(A1||(A1&&A0))||A2"", ""!A0"", ""!A1"", ""!A2"", ""!A1&&(A2||A0)"", ""A1&&A0"", ""(A1||A1)&&(A2&&A0)""]";"0";80;79;7;0;"data/SRS/Dataset_A/sig3_5_15/srs_0.txt";0.0;"[]";1;10;"kernel";"A0&&!A0";10
4;16.5425;"37768 KB";"[""!(!A1&&A2)"", ""!(A0||A1)"", ""A1||((A2&&A0)&&A1)"", ""(A1||(A1&&A0))||A2"", ""!A0"", ""!A1"", ""!A2"", ""!A1&&(A2||A0)"", ""A1&&A0"", ""(A1||A1)&&(A2&&A0)""]";"1";50;85;6;36;"data/SRS/Dataset_A/sig3_5_15/srs_0.txt";5.0;"[""(A1||A1)&&(A2&&A0)"", ""A1&&A0"", ""!A2"", ""!(!A1&&A2)"", ""A1||((A2&&A0)&&A1)""]";1;1;"kernel";"A0&&!A0";10
5;11.9597;"37636 KB";"[""!(!A1&&A2)"", ""!(A0||A1)"", ""A1||((A2&&A0)&&A1)"", ""(A1||(A1&&A0))||A2"", ""!A0"", ""!A1"", ""!A2"", ""!A1&&(A2||A0)"", ""A1&&A0"", ""(A1||A1)&&(A2&&A0)""]";"1";47;68;6;22;"data/SRS/Dataset_A/sig3_5_15/srs_0.txt";5.0;"[""(A1||A1)&&(A2&&A0)"", ""A1&&A0"", ""!A2"", ""!(!A1&&A2)"", ""A1||((A2&&A0)&&A1)""]";1;5;"kernel";"A0&&!A0";10
6;8.14632;"37476 KB";"[""!(!A1&&A2)"", ""!(A0||A1)"", ""A1||((A2&&A0)&&A1)"", ""(A1||(A1&&A0))||A2"", ""!A0"", ""!A1"", ""!A2"", ""!A1&&(A2||A0)"", ""A1&&A0"", ""(A1||A1)&&(A2&&A0)""]";"1";33;48;6;16;"data/SRS/Dataset_A/sig3_5_15/srs_0.txt";5.0;"[""!A1"", ""!A1&&(A2||A0)"", ""(A1||A1)&&(A2&&A0)"", ""A1&&A0"", ""!(A0||A1)""]";1;10;"kernel";"A0&&!A0";10
7;4.0306;"37428 KB";"[""!(!A1&&A2)"", ""!(A0||A1)"", ""A1||((A2&&A0)&&A1)"", ""(A1||(A1&&A0))||A2"", ""!A0"", ""!A1"", ""!A2"", ""!A1&&(A2||A0)"", ""A1&&A0"", ""(A1||A1)&&(A2&&A0)""]";"2";12;20;5;9;"data/SRS/Dataset_A/sig3_5_15/srs_0.txt";1.23611;"[""(A1||A1)&&(A2&&A0)"", ""A1&&A0"", ""!A1&&(A2||A0)"", ""!A1"", ""!(A0||A1)""]";1;1;"kernel";"A0&&!A0";10
8;3.24507;"37272 KB";"[""!(!A1&&A2)"", ""!(A0||A1)"", ""A1||((A2&&A0)&&A1)"", ""(A1||(A1&&A0))||A2"", ""!A0"", ""!A1"", ""!A2"", ""!A1&&(A2||A0)"", ""A1&&A0"", ""(A1||A1)&&(A2&&A0)""]";"2";13;23;5;11;"data/SRS/Dataset_A/sig3_5_15/srs_0.txt";1.23611;"[""(A1||A1)&&(A2&&A0)"", ""A1&&A0"", ""!A1&&(A2||A0)"", ""!A1"", ""!(A0||A1)""]";1;5;"kernel";"A0&&!A0";10
9;3.1116;"37532 KB";"[""!(!A1&&A2)"", ""!(A0||A1)"", ""A1||((A2&&A0)&&A1)"", ""(A1||(A1&&A0))||A2"", ""!A0"", ""!A1"", ""!A2"", ""!A1&&(A2||A0)"", ""A1&&A0"", ""(A1||A1)&&(A2&&A0)""]";"2";12;21;6;10;"data/SRS/Dataset_A/sig3_5_15/srs_0.txt";1.23611;"[""!A1"", ""!A1&&(A2||A0)"", ""(A1||A1)&&(A2&&A0)"", ""A1&&A0"", ""!(A0||A1)""]";1;10;"kernel";"A0&&!A0";10
10;0.451404;"36636 KB";"[""A1&&A2"", ""A0"", ""!A2&&(A1&&A0)"", ""A2||!A1"", ""!(A1&&A0)""]";"0";3;2;2;0;"data/SRS/Dataset_A/sig3_5_15/srs_1.txt";0.0;"[]";1;1;"kernel";"A0&&!A0";5
11;0.50396;"36820 KB";"[""A1&&A2"", ""A0"", ""!A2&&(A1&&A0)"", ""A2||!A1"", ""!(A1&&A0)""]";"0";3;2;2;0;"data/SRS/Dataset_A/sig3_5_15/srs_1.txt";0.0;"[]";1;5;"kernel";"A0&&!A0";5
12;0.45964;"36564 KB";"[""A1&&A2"", ""A0"", ""!A2&&(A1&&A0)"", ""A2||!A1"", ""!(A1&&A0)""]";"1";3;2;2;0;"data/SRS/Dataset_A/sig3_5_15/srs_1.txt";2.0;"[""!A2&&(A1&&A0)"", ""A0""]";1;1;"kernel";"A0&&!A0";5
13;0.511245;"36668 KB";"[""A1&&A2"", ""A0"", ""!A2&&(A1&&A0)"", ""A2||!A1"", ""!(A1&&A0)""]";"1";3;2;2;0;"data/SRS/Dataset_A/sig3_5_15/srs_1.txt";2.0;"[""!A2&&(A1&&A0)"", ""A0""]";1;5;"kernel";"A0&&!A0";5
