dataset,div_conq,sw_size,strategy_param,dataset_length
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,0,1,0,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,0,1,1,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,0,1,2,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,0,1,3,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,0,5,0,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,0,5,1,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,0,5,2,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,0,5,3,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,0,10,0,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,0,10,1,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,0,10,2,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,0,10,3,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,1,1,0,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,1,1,1,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,1,1,2,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,1,1,3,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,1,5,0,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,1,5,1,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,1,5,2,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,1,5,3,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,1,10,0,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,1,10,1,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,1,10,2,27
data/ARG/A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf.pl,1,10,3,27
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,0,1,0,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,0,1,1,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,0,1,2,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,0,1,3,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,0,5,0,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,0,5,1,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,0,5,2,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,0,5,3,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,0,10,0,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,0,10,1,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,0,10,2,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,0,10,3,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,1,1,0,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,1,1,1,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,1,1,2,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,1,1,3,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,1,5,0,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,1,5,1,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,1,5,2,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,1,5,3,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,1,10,0,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,1,10,1,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,1,10,2,15
data/ARG/A-1-brookings-or-us.gml.50.tgf.pl,1,10,3,15
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,0,1,0,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,0,1,1,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,0,1,2,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,0,1,3,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,0,5,0,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,0,5,1,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,0,5,2,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,0,5,3,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,0,10,0,20
data/ARG/A-1-caravan-or-us.gml.80.tgf.pl,0,10,1,20
